Time,Voltage,Current
17:48:50, 9472.0000, -306.0000
17:48:51, 9485.0000, -296.0000
17:48:53, 9478.0000, -296.0000
17:48:55, 9470.0000, -303.0000
17:48:57, 9476.0000, -302.0000
17:48:59, 9483.0000, -296.0000
17:49:01, 9486.0000, -297.0000
17:49:03, 9483.0000, -301.0000
17:49:05, 9486.0000, -295.0000
17:49:07, 9484.0000, -296.0000
17:49:09, 9112.0000, -297.0000
17:49:11, 8777.0000, -302.0000
17:49:13, 8391.0000, -298.0000
17:49:15, 8194.0000, -298.0000
17:49:17, 8028.0000, -299.0000
17:49:19, 7903.0000, -304.0000
17:49:21, 7922.0000, -298.0000
17:49:23, 8328.0000, -297.0000
17:49:25, 8707.0000, -297.0000
17:49:27, 8909.0000, -303.0000
17:49:29, 9171.0000, -295.0000
17:49:31, 9559.0000, -296.0000
17:49:33, 9800.0000, -305.0000
17:49:35, 10062.0000, -301.0000
17:49:37, 10417.0000, -294.0000
17:49:39, 10853.0000, -293.0000
17:49:41, 10649.0000, -301.0000
17:49:43, 10190.0000, -303.0000
17:49:45, 10023.0000, -296.0000
17:49:47, 9802.0000, -295.0000
17:49:49, 9678.0000, -302.0000
17:49:51, 9545.0000, -295.0000
17:49:53, 9536.0000, -295.0000
17:49:55, 9533.0000, -296.0000
